date,mean temperature,maximum temperature,minimum temperature,rainfall,daylight,steam pressure,cloudiness,wind spped,fallen snow
2022/2/10,6.1,7.8,4.5,0,1.1,6.1,7.5,1.6,0
2022/2/11,6.9,11.9,1.9,0,7.9,6.1,1,1.6,0
2022/2/12,7.1,13.3,2.2,0,9.2,5.2,5.5,1.6,0
2022/2/13,4.8,7.1,3.7,8,0,6.6,9.5,2.4,0
2022/2/14,7,11.5,4.1,0,5.4,6,8.3,2,0
2022/2/15,7.4,12.6,1.9,0,7,6.3,6.8,2.4,0
2022/2/16,4.8,7.5,2,0,7.6,4,4.5,3.6,0
2022/2/17,2.7,6.3,0.2,0,7.7,3.5,4.8,3.3,0
2022/2/18,4.6,8.7,2.1,0,3.6,5.1,9,2,0
2022/2/19,4.9,8.6,1.7,8,0.8,6.5,10,2.1,0
2022/2/20,5.6,11,1.9,0.5,4.8,5.7,6.8,2.7,0
2022/2/21,3.7,7.6,1,0,6.6,4.3,2,3,0
2022/2/22,4.4,9,2,0,6.5,4,4.8,3.5,0
2022/2/23,3.4,7.6,-0.2,0,4.8,4.4,6.3,2,0
2022/2/24,3.8,8,0.5,0,5,4.4,2.3,1.8,0
2022/2/25,5.1,9.5,-0.5,0,10.8,4.8,3.8,2.2,0
2022/2/26,7.3,12.5,2.3,0,10.8,5.2,1,1.8,0
2022/2/27,8.9,13.1,4.6,0,7.4,5.9,1.5,2.5,0
2022/2/28,8.6,14.6,2.5,0,10,4.9,0.8,1.6,0
2022/3/1,7.1,8.9,4.8,14.5,0.2,7.9,9,1.6,0
2022/3/2,9.8,13.9,7,0,4.2,9.4,7.8,1.7,0
2022/3/3,9.2,12.5,5.9,0,8.4,6.8,5.8,3,0
2022/3/4,8.3,12.7,3.6,0,5.9,5.4,5,1.4,0
2022/3/5,10.3,16.8,4.5,0,9.8,6.9,3.8,2.7,0
2022/3/6,6.4,10.3,4.1,0,6.9,5.2,2.3,2.9,0
2022/3/7,6.2,10.1,3.7,0,3.1,5,7.8,2.5,0
2022/3/8,6.9,12.7,1.7,0,10.5,5.5,0,1.8,0
2022/3/9,8.4,14.1,3.3,0,6.8,5.5,5,1.6,0
2022/3/10,10.2,17,4.3,0,10.7,5.6,1.5,1.5,0
2022/3/11,12,18.1,6.1,0,10.3,8.1,7.8,1.8,0
2022/3/12,15.6,20.2,10.8,0,10.3,11.3,6.3,1.8,0
2022/3/13,16.7,21.5,12,0,6.5,12.8,10,2.2,0
2022/3/14,17.6,22.2,14.4,14,5.9,14.5,7.8,2.1,0
2022/3/15,16.7,22,10.7,0,9.3,11.4,4,2.8,0
2022/3/16,15,21.1,9,0,10.6,8.4,7.5,2.4,0
2022/3/17,13.5,18.6,10.4,0,6.6,8.2,5.5,3.6,0
2022/3/18,10.5,12.2,8.5,32,0,10.5,10,4.4,0
2022/3/19,9.9,13.5,6.8,4.5,2.1,8.7,10,2.8,0
2022/3/20,8.9,12.9,5.5,0,5.9,6.9,5.3,2.3,0
2022/3/21,10.4,15.2,6.7,0,6.3,6.5,9.3,2,0
2022/3/22,7.2,10.2,5.7,16.5,2.1,7.6,8,3,0
2022/3/23,8.8,14,4.1,2,5.4,7.5,10,1.9,0
2022/3/24,10.6,14.5,6.3,0,10,8.4,3.5,2.3,0
2022/3/25,13.2,19.5,6.7,0,9.1,8.9,7.3,1.8,0
2022/3/26,15.3,18.7,12,13.5,0,13.6,10,1.8,0
2022/3/27,15.5,20,12.9,2,9,9.8,4.8,2.5,0
2022/3/28,12.1,15.5,8.5,0,5,6.3,8.5,3.6,0
2022/3/29,11.6,16.2,7.8,0,0.7,7.3,10,1.8,0
2022/3/30,15.4,21.2,9.5,0,10.5,11.8,7.5,1.8,0
2022/3/31,13.5,16.2,8.9,5.5,0,12.7,10,2.4,0
2022/4/1,9.5,14,6.9,3,9.7,5.4,6,4.9,0
2022/4/2,9.5,14.8,5.2,0,7.7,5.6,9,1.9,0
2022/4/3,10.7,13,8.8,2,0,10.2,9.8,3.7,0
2022/4/4,13,19.8,9.4,0,10.1,8.3,3.3,3.2,0
2022/4/5,13.4,19.6,7.4,0,11.2,7.4,4.3,1.7,0
2022/4/6,16.3,21.2,11.7,0,10.2,8.2,8.5,2,0
2022/4/7,16.2,21.1,10.9,0,11.2,9.8,4,2.8,0
2022/4/8,16.2,21.1,12.3,0,11.4,9.2,0.8,2.1,0
2022/4/9,17.1,23.8,10.9,0,11.9,9.9,0,2.1,0
2022/4/10,19.1,25.9,13.3,0,11.3,12.9,3.5,1.7,0
2022/4/11,18.6,23,15.6,0,6.4,14.1,10,1.7,0
2022/4/12,19.7,25.4,15.4,0,9.5,16,6.3,2,0
2022/4/13,21,27.3,18.4,0,5.2,17.7,9.3,2,0
2022/4/14,20,26.8,16,6,3.8,17.5,9.8,3.2,0
2022/4/15,16.1,18.4,13.5,7.5,0.1,13.9,10,4,0
2022/4/16,13.5,17.9,9.5,0,10,7.5,7.5,4.1,0
2022/4/17,14.8,23.3,8.4,0,11.4,9.2,5.5,2.4,0
2022/4/18,17.7,22.4,13.4,0,4.9,11.9,10,2.4,0
2022/4/19,17.6,23.2,12.5,0,12.1,7,7.8,2.2,0
2022/4/20,18.2,25,11.9,0,11.9,8.7,1.5,2.4,0
2022/4/21,17,20.5,15,8.5,1,15.4,9.5,1.8,0
2022/4/22,18.5,23.1,15.7,0,9.3,15.5,5.5,2.5,0
2022/4/23,20.1,25.1,15.6,0,6.4,14.4,10,1.9,0
2022/4/24,17.6,19.5,16.2,15,0,17.7,10,2,0
2022/4/25,20.9,27.4,17,0,9.7,18.3,9,1.7,0
2022/4/26,21.9,26.1,18.1,28.5,0.1,21.2,10,3.2,0
2022/4/27,19.2,23.8,13.7,11,0.4,17.9,9.3,3.4,0
2022/4/28,18.7,26.4,12.5,0,9.6,11.7,6,2.9,0
2022/4/29,15.9,20.5,11.6,34.5,0.1,14.6,10,3.3,0
2022/4/30,15.8,22.2,11.3,0,10.8,9.2,5,2.6,0
2022/5/1,14.9,19,11.4,5,1.4,12.6,9,2.3,0
2022/5/2,14.6,20.6,9.5,0,10.8,8.8,5.8,2.4,0
2022/5/3,15.6,20.7,10.6,0,12.8,8.6,2,1.8,0
2022/5/4,17.9,23.7,11.5,0,12,10.5,4,2,0
2022/5/5,19.4,25.8,13.7,0,11.4,13,5.5,1.7,0
2022/5/6,20.3,26.4,16.4,0,6.7,13.7,7,1.8,0
2022/5/7,21.4,26.9,15.8,0,12.1,14.7,4,2.6,0
2022/5/8,17.8,23.9,13.4,0,11.5,8,4.3,3.8,0
2022/5/9,14.5,16.4,13.1,0,0.2,9.7,10,2.5,0
2022/5/10,18.2,25.4,11.5,0,7.3,13,7.8,2.4,0
2022/5/11,20.5,26.4,17.4,0.5,4.8,15.8,8.3,2.2,0
2022/5/12,19.3,20.5,18.3,17.5,0,19.6,10,2.4,0
2022/5/13,20.2,21.9,18.3,13.5,0,22,10,1.9,0
2022/5/14,19.7,23.4,15.3,8.5,1.7,16.8,9,2.6,0
2022/5/15,17.2,20.4,13.3,0,0.7,10.4,9.8,1.7,0
2022/5/16,18.1,22.1,14.6,0,0.6,12.1,10,1.9,0
2022/5/17,18.8,22.2,16.4,0,1.1,13.8,10,1.3,0
2022/5/18,20.7,26.8,14.3,0,12,11.6,3.8,1.7,0
2022/5/19,21.9,27.5,15.8,0,10.5,10.8,7.5,1.8,0
2022/5/20,21.5,25.1,18,0,0.3,12.8,10,1.3,0
2022/5/21,19.8,22.9,17.2,0,0.1,14.7,10,2.1,0
2022/5/22,21.2,26.3,16.3,2,11.7,15.3,5.5,2.3,0
2022/5/23,22.4,28.1,18.1,0,9.7,13.9,8,2.5,0
2022/5/24,22.7,29.5,17.3,0,13,15,2.8,2.6,0
2022/5/25,23.8,29.7,19.5,0,12.1,18,5.3,2.1,0
2022/5/26,23.1,28.3,19.5,4,5.9,19.1,8,2,0
2022/5/27,22,26.3,18.2,17.5,9.5,17.5,7,2.5,0
2022/5/28,23.5,27.5,18.3,0,13.1,15.2,4.3,2.7,0
2022/5/29,25.2,31.8,19.2,0,13,14.6,5,1.9,0
2022/5/30,22.5,27.9,17.6,9,5.1,17.7,9.5,2.1,0
2022/5/31,20.8,26.6,17.5,2.5,3.5,17.4,7.5,2.6,0
2022/6/1,21.3,27.2,15.4,0,5.1,11.9,7.8,1.5,0
2022/6/2,23.2,29.2,17.5,0,13.4,14.7,0.5,2,0
2022/6/3,24,29.1,19.9,0,10.3,16.8,3.5,2.7,0
2022/6/4,22.9,29.2,17.7,0,11.1,13.6,5,3,0
2022/6/5,21.5,25.5,18.7,6.5,3.1,18.1,10,2.1,0
2022/6/6,19.9,23.1,17.4,17,0,19.9,10,3,0
2022/6/7,20.5,24.9,16.8,0,6,14.8,5.3,3.1,0
2022/6/8,20.9,26.7,15.2,0,13.1,14.4,2.5,1.9,0
2022/6/9,22.8,28.8,17.3,0,13.4,16.8,4,2.9,0
2022/6/10,24.1,29,21.1,0,10.2,20.3,9,2.1,0
2022/6/11,22,24.2,19.9,1.5,0,20.9,10,2.6,0
2022/6/12,22.6,27.7,18.6,0,12.5,15.4,6,3.5,0
2022/6/13,22.1,26.3,17.4,0,5.2,15.1,10,2.4,0
2022/6/14,19.9,22.6,17.1,13,0,18.2,10,4.1,0
2022/6/15,21.3,27.2,17.9,1.5,1.8,20.4,10,2.6,0
2022/6/16,23.5,27.2,20.3,0.5,1.3,22.9,10,1.8,0
2022/6/17,25.3,29.8,21.6,0,6.9,22.6,10,2,0
2022/6/18,24.6,28.3,22.8,0,3,23,7.5,1.8,0
2022/6/19,25.2,30,22.1,0,6.1,23.6,10,2.2,0
2022/6/20,26,29.2,23.9,0,3.4,24.5,10,2,0
2022/6/21,23.8,25.1,22.1,55.5,0,26.7,10,1.5,0
2022/6/22,25.7,30.2,22.2,3,6.7,26.9,9.5,2,0
2022/6/23,28,32.4,24.5,0,9.3,27,5,2.1,0
2022/6/24,29.9,34,25.8,0,11.6,26.1,5.5,4.7,0
2022/6/25,27.6,31.5,24.9,2.5,4.7,27.2,7,2.9,0
2022/6/26,27.1,31.5,23.9,0,7.4,25.5,7.5,2.1,0
2022/6/27,28,32.1,25.2,0,8.4,27.7,7.8,2.1,0
2022/6/28,28.7,33.2,25.1,0,12.8,27.5,6,2.7,0
2022/6/29,29.2,33.6,26.3,0,13.8,26.9,2,3,0
2022/6/30,30.1,34.9,26.5,0,12.8,26.2,0,2.2,0
2022/7/1,31.1,38.4,26.2,0,13.3,26.4,1.5,2,0
2022/7/2,29.3,34,26.4,0,12.1,28.3,3,2.5,0
2022/7/3,27.9,30.7,26.7,1.5,0.5,29.6,10,1.8,0
2022/7/4,26.3,27.5,25.3,4.5,0,29.6,10,1.2,0
2022/7/5,25.8,30.1,23.9,44,0.8,29.9,10,1.7,0
2022/7/6,28.4,33.1,24.2,0,7.2,28.4,7,2.5,0
2022/7/7,29.1,34.4,24.8,0,11.9,25.9,4.8,2.3,0
2022/7/8,28,31.2,25.9,0,3.4,28.2,9.5,2.3,0
2022/7/9,28.2,32.8,24.4,26,6.6,29,8.5,2.3,0
2022/7/10,27.4,32.1,23.8,9,4.4,28.9,8,1.8,0
2022/7/11,28.4,32,26,0,5.1,28,9,2.2,0
2022/7/12,26.3,28.7,23.5,45.5,0.4,28.7,10,2,0
2022/7/13,27.3,31,24.3,0,5.9,24.9,9.8,2.1,0
2022/7/14,26,28.9,24.9,2,0,26.9,10,1.5,0
2022/7/15,27.3,32.1,24.5,0.5,2.2,28.7,9.8,1.9,0
2022/7/16,26.4,29,24.9,0.5,0.5,26.9,10,1.6,0
2022/7/17,27.7,31.6,24.8,0,8.7,26.1,6.8,2.7,0
2022/7/18,28.5,32.9,25.3,1,3.7,25.9,10,2.3,0
2022/7/19,27.6,29.3,26.4,19,0.1,31.6,9.5,3.1,0
2022/7/20,28.7,32.8,25.7,0,7.7,26.6,7.8,2.1,0
2022/7/21,28.3,32.6,25.7,0,3.3,25.2,8.8,1.7,0
2022/7/22,28,31.6,24.7,13.5,9.5,26.2,7.8,3.6,0
2022/7/23,27.2,31.5,24.3,0,7.6,21.9,7.5,3,0
2022/7/24,28,33.2,22.9,0,13.3,22.7,2.3,2.3,0
2022/7/25,30.1,34.7,26.6,0,9.5,26,5.5,2.1,0
2022/7/26,31.2,37,27,0,10.6,28.6,7.3,2.3,0
2022/7/27,29.7,32.9,28.1,0,5.2,30.5,7.8,2.2,0
2022/7/28,30,35.4,26.8,0,10.5,29.4,4.8,2.1,0
2022/7/29,30.2,35.6,26.6,7,6.8,28.4,4.3,1.7,0
2022/7/30,30.4,35.5,26.3,0,7.6,28.2,8.8,2.4,0
2022/7/31,30.7,35.2,27.2,0,10.4,28.1,4,2.4,0
2022/8/1,31.1,35,27.8,0,13.2,28.3,6,2.7,0
2022/8/2,30.9,35.5,27.9,0,12.6,28.1,7.3,2.4,0
2022/8/3,31,35.8,27.2,3.5,10.5,29.7,4.3,2.5,0
2022/8/4,29.9,34.2,26.5,2.5,5.7,30.2,6,2.8,0
2022/8/5,28.5,32.1,26,1.5,3.9,30.1,7,1.7,0
2022/8/6,28.8,33.4,25.1,16,7,30.2,9,1.7,0
2022/8/7,30.1,34.7,26.3,0,11.2,29.8,7,2,0
2022/8/8,30.8,34.9,27.4,0,10.9,29.8,5,2.3,0
2022/8/9,31.2,35.6,28.7,0,10.5,29.3,7,2.8,0
2022/8/10,31.3,35.8,28.7,0,11.5,29.5,9.5,2.5,0
2022/8/11,31.1,35.5,28.2,0,10.6,29.3,7.3,2.4,0
2022/8/12,30.6,34,28.3,0.5,4,30.1,8.8,2,0
2022/8/13,30.4,34.7,27.5,0,7.7,30,6.5,2.8,0
2022/8/14,30.8,34.2,28.8,0,6.2,30.4,8,3.2,0
2022/8/15,31.6,36.3,28.5,0,10.5,30.7,6.3,3,0
2022/8/16,30.9,35.6,27.2,8,5.3,31.8,9.3,3.7,0
2022/8/17,27.2,29,26.1,5.5,0,31.4,10,2,0
2022/8/18,27.5,31.1,23.2,7,5.6,26.7,8.3,2.7,0
2022/8/19,28.4,32.5,24.3,0,9.8,23.6,5.5,2.5,0
2022/8/20,29.7,33.5,27.4,1,2.6,29.3,10,2.1,0
2022/8/21,28.2,33.5,24.8,21,3.3,30.7,8.5,2.3,0
2022/8/22,29.4,34.2,26.3,0.5,6.1,31.2,6.3,2.2,0
2022/8/23,30.1,34.5,26.7,0,4.5,30,8.5,1.9,0
2022/8/24,28.8,33,27.2,0,0.6,27.3,8.8,2.5,0
2022/8/25,29.1,32.1,26.1,0,3.2,27.8,9.8,2.1,0
2022/8/26,29,32.7,26.4,0,7.9,24.9,8.3,2.2,0
2022/8/27,28.6,31.3,26.8,0,3.5,24.6,9.3,2.2,0
2022/8/28,26.4,30.6,22.8,0,4.7,19.6,7.3,3.6,0
2022/8/29,27.3,34.3,21.6,0,9.1,21.9,6.3,2.6,0
2022/8/30,27.1,32.3,24.7,6.5,3.1,28.6,10,2.1,0
2022/8/31,29.7,34.5,25.2,0,10.1,30.7,6.3,1.9,0
2022/9/1,27.3,31.4,24.1,20.5,1,31.1,10,2.3,0
2022/9/2,26.5,32.9,22.1,21.5,6.4,27.2,8.5,2.8,0
2022/9/3,26.6,32.6,23.4,17.5,5.4,27.8,9.3,2.3,0
2022/9/4,28.3,33.5,24,0,9,28.3,3.5,2,0
2022/9/5,29.3,34.8,24.8,0,8.2,25.3,3.3,2.4,0
2022/9/6,29.5,34.7,24.3,1,6.4,26.6,9.5,4.3,0
2022/9/7,25.9,30.5,21.9,2.5,3.8,23.9,9.8,3.6,0
2022/9/8,25.4,29,22.6,39,0.2,25.2,10,2.9,0
2022/9/9,25.5,29,22.8,5,0.1,27.9,10,2.7,0
2022/9/10,27.5,32.8,24.1,0.5,7.6,26.9,7.5,2.8,0
2022/9/11,28.8,34.6,24.5,0,11.2,26,2.8,2,0
2022/9/12,29.6,33.9,25.4,0,11.4,25.3,5,2.7,0
2022/9/13,29.8,34.8,26.2,0,11.1,26.2,6.8,3.9,0
2022/9/14,29.6,34,26.2,0,10.3,27.5,7,3.6,0
2022/9/15,28.9,33.6,25.7,0,10,26,7,2.9,0
2022/9/16,27.8,33.2,24.3,0,10.7,21.4,7.3,3.7,0
2022/9/17,26.4,28,24.6,3.5,0.6,25.1,10,5.6,0
2022/9/18,28.8,32.6,24.8,0,3.2,28,10,4.2,0
2022/9/19,28.9,32.1,24.4,16,0.2,27.6,9.8,4.4,0
2022/9/20,22.3,24.8,19.8,16,3,17.3,9.8,4.1,0
2022/9/21,21.2,24.1,19.2,0,3.7,15,9.3,3.4,0
2022/9/22,22.8,27.4,19.4,2,4.1,20,10,4,0
2022/9/23,23,24,22.1,17,0.4,25.2,9.8,2.9,0
2022/9/24,24.3,29.7,20.1,0,9.8,19.4,5.3,3.1,0
2022/9/25,23.4,28.9,17.9,0,10.4,16.6,2.3,1.9,0
2022/9/26,25.7,31.3,20.3,0,11.5,20.8,1,1.7,0
2022/9/27,23.6,29,20.3,18.5,3.4,21.7,9.5,3,0
2022/9/28,23.2,27.3,20.6,0,2.5,20.5,10,2.6,0
2022/9/29,23.4,27.3,21,0,2.1,18.1,9.5,2.3,0
2022/9/30,24.1,30,19.5,0,10.5,19.2,0.5,2.8,0
2022/10/1,24.2,29.2,19.8,0,11,18,1,2.1,0
2022/10/2,24.6,30.5,19.3,0,11.1,17,2.8,2.1,0
2022/10/3,24.9,29.6,20.5,0,4.6,20,9.8,1.7,0
2022/10/4,26.6,30.5,22.7,0,7.4,23,9.3,2.7,0
2022/10/5,21,26.8,17.8,2.5,0.4,16.9,7.8,4.2,0
2022/10/6,19.1,22.2,17.5,0,2.4,11.8,9,2.8,0
2022/10/7,16.7,18.3,15,33,0,17.4,10,1.7,0
2022/10/8,18.2,21.8,14.9,0,2.5,13.5,7.5,2.9,0
2022/10/9,16.5,20.1,14.4,20,0,15.5,9.8,3.2,0
2022/10/10,18.9,20.9,16.9,24.5,0,17.8,10,2.2,0
2022/10/11,18.5,22.8,14.4,0,7.4,10.7,9.3,2.8,0
2022/10/12,17.7,20,15.5,0,0,14,10,2,0
2022/10/13,20.2,25.4,15.8,0,9.4,15.7,5.3,3.1,0
2022/10/14,21.2,27.1,16.7,0,10.7,16.4,1,2.8,0
2022/10/15,21.5,27.5,17,0,10.9,16.5,0.5,2.4,0
2022/10/16,22.8,28.5,17.4,0,8.6,19,3.5,1.9,0
2022/10/17,20.4,22.8,18.8,6,0,21.4,10,1.2,0
2022/10/18,18.2,22.9,14.6,0,6.8,14.1,7.5,3.1,0
2022/10/19,16.7,22.2,12.2,0,10.7,9.7,0.5,2.5,0
2022/10/20,16.9,22.9,12,0,10.8,10.7,0,1.8,0
2022/10/21,18.5,23.6,12.3,0,10.2,12.9,5.5,2,0
2022/10/22,20.8,24.9,17,0,3.6,16.8,7.5,1.6,0
2022/10/23,19.9,24.1,16.6,4.5,8.3,15.4,3.8,1.9,0
2022/10/24,15.9,21.2,12.9,2,6,10.9,6.3,2.8,0
2022/10/25,15.3,21.1,12.1,0,8.7,9.5,3.8,2.8,0
2022/10/26,15.5,21.2,10.4,0,10.6,9.7,0.8,1.8,0
2022/10/27,14.6,18.6,11.2,0,2.1,10.3,6.3,1.5,0
2022/10/28,16.5,22.2,11.5,0,10.3,11.1,0.8,2.1,0
2022/10/29,16.1,20.9,12.7,0,9.4,10.2,3.3,2.9,0
2022/10/30,15.1,20.3,10.6,0,8.9,9.8,5.3,1.9,0
2022/10/31,15.4,21.2,10.3,0,8.8,12,3.8,2.4,0
2022/11/1,15.4,18.2,14,5.5,0,14.5,10,3.7,0
2022/11/2,18.2,23.4,14.3,0,9.9,14.9,3.8,1.9,0
2022/11/3,17.7,23,13.1,0,9.9,14.5,1.3,2,0
2022/11/4,17,21.6,13.4,0,7.3,12.6,4.3,2.4,0
2022/11/5,14.8,19.8,11.1,0,9.6,10.6,1.3,1.9,0
2022/11/6,14.5,20.3,10.4,0,10.2,9.5,2.3,2,0
2022/11/7,14.7,20.9,9.7,0,7,9.7,4.5,1.9,0
2022/11/8,15.2,20.7,11.1,0,8,11,1.5,1.7,0
2022/11/9,15.1,20.5,10.4,0,10,10.5,2,1.3,0
2022/11/10,16.2,22.2,10.6,0,9.6,11.6,2.3,1.7,0
2022/11/11,17.1,22.4,12.1,0,9.7,12,1,1.4,0
2022/11/12,18,24,13.2,0,9.7,13.8,0,1.4,0
2022/11/13,16.8,18,15.3,23.5,0.1,16.1,8.3,1.6,0
2022/11/14,14.7,17.3,11,0,1.6,10,6.8,2.4,0
2022/11/15,13.7,18.7,8.9,0,9.6,9.9,1.8,1.7,0
2022/11/16,14.1,18.1,10.5,0,9.3,9.1,2.8,2.1,0
2022/11/17,12.7,16.9,8.5,0,5.1,9.5,3,1.1,0
2022/11/18,13.3,19,8.4,0,9.9,9.4,0,1.5,0
2022/11/19,13.4,18.6,8.8,0,6.7,9.6,3.5,1.7,0
2022/11/20,14.9,18.4,12.2,11,1.9,12.5,10,4.3,0
2022/11/21,15.4,19.5,13.2,5,1.9,14.3,7.5,1.6,0
2022/11/22,15,18.9,10.8,0,4.7,12.4,6.8,1.6,0
2022/11/23,14.3,15.8,12.5,11,0,13.8,8.5,2.2,0
2022/11/24,15.3,19.4,11.8,0,6.3,10.9,7.5,2.2,0
2022/11/25,13.9,18.7,9.4,0,9.4,10.2,3,1,0
2022/11/26,14.3,17.9,11.2,0,1.7,11.5,9.3,1.1,0
2022/11/27,14.7,18.7,11.6,0,8.5,9.8,2.8,1.9,0
2022/11/28,14.6,20.5,10.1,0,6.5,10.4,7.5,1.5,0
2022/11/29,17,19.5,14.4,22,0,17.6,10,1.6,0
2022/11/30,14,17.9,9,3.5,0.8,11.2,8.8,2.9,0
2022/12/1,9.4,12.6,7.4,0,4.5,6.8,7.8,2.1,0
2022/12/2,8.2,12,5.8,0,5.7,6,4.3,2,0
2022/12/3,8.1,12.5,3.6,0,7.9,7.3,4,1.5,0
2022/12/4,10.5,14.1,7.3,0,0.8,8.6,10,1.4,0
2022/12/5,10.6,13.2,8.9,0.5,2.8,7.9,8.3,1.5,0
2022/12/6,9.8,13.6,6.2,0,7,6.6,1.8,2.1,0
2022/12/7,9.7,12.3,5.8,0,3.4,6.1,6.5,2.2,0
2022/12/8,11.5,15.1,9.1,0,8.4,7,5,2.3,0
2022/12/9,10.5,15.9,6,0,7.8,7.9,3.8,1.2,0
2022/12/10,11.4,16.8,6.7,0,9.2,7.8,1.8,1.4,0
2022/12/11,11,16.2,8.5,0,5.9,8.5,9.5,2.4,0
2022/12/12,10.1,13.6,6.3,0,9.2,6.6,4.8,1.6,0
2022/12/13,11.3,14.5,8.1,2.5,3,8.6,8.8,2.6,0
2022/12/14,8.7,12.1,3.6,0,6.4,4.7,3.8,4.3,0
2022/12/15,6.2,9.2,3.5,0,6.7,4.4,3.3,2.6,0
2022/12/16,7.8,12.3,3.8,0,5.6,6.1,2.5,1.9,0
2022/12/17,5.9,7.2,5.1,6.5,0,7.6,10,1.1,0
2022/12/18,4,6.6,2.2,0,8.2,3.7,2.5,3.6,0
2022/12/19,3.9,7,1.6,0,8,3.9,1.8,3.6,0
2022/12/20,5.1,9.8,0.7,0,6.9,4.9,2.5,1.6,0
2022/12/21,6.3,11.7,1.2,1,3.2,6.3,7.5,2.2,0
2022/12/22,8,11.9,4.1,6.5,3.2,7.6,9,3.5,0
2022/12/23,2.7,4.5,1.9,0,1.8,3.5,7.3,5,0
2022/12/24,5.1,9.6,1.7,0,8.1,5.3,3.5,3.2,0
2022/12/25,6.8,11.1,4.8,1,5.7,6.4,5.3,2.4,0
2022/12/26,6.1,9.5,4.2,0,3.5,6,7.8,2,0
2022/12/27,7.5,11.1,3.7,0,5,5.8,4.3,1.7,0
2022/12/28,7,11.8,1.7,0,8.2,6.8,2,1.6,0
2022/12/29,8.1,11,5.6,0,8.9,5.7,1.8,2.3,0
2022/12/30,6.5,10.5,2.1,0,6.9,4.9,2.5,1.8,0
2022/12/31,7.2,11.7,2.5,0,7.8,5.5,3.8,1.8,0
